"Party","Closeness"
"Pak Justice Party",NA
"Pak Muslim Alliance",NA
"Pak Wattan Party",NA
"Pakistan Bachao Party",NA
"Pakistan Brohi Party",NA
"Pakistan Conservative Party",NA
"Pakistan Democratic party",NA
"Pakistan Gharib Party",NA
"Pakistan Insani Haqook Party",NA
"Pakistan Islami Justice Party",NA
"Pakistan Ittehad Tehreek",NA
"Pakistan Kissan Ittehad",NA
"Pakistan Muhafiz Party",NA
"Pakistan Muhafiz Watan Party",NA
"Pakistan Muhajir League",NA
"Pakistan Muhammadi Party",NA
"Pakistan Muslim League-Muttahida",NA
"Pakistan Muslim League (Safdar)",NA
"Pakistan Muslim League (Sher-e-Bangal) A.K. Fazal-Ul-",NA
"Pakistan Muslim League (Zehri Group)",NA
"Pakistan Muslim League “H” Haqiqi",NA
"Pakistan Muslim League Council",NA
"Pakistan Qaumi League",NA
"Pakistan Qaumi Party",NA
"PAQ",NA
"PFM",NA
"PI-P",NA
"PKI",NA
"PL",NA
"PML-AKFH",NA
"PML-Q",NA
"PMLKQK",NA
"PMNL",NA
"PPAP",NA
"PSDP",NA
"PSP",NA
"PTSB",NA
"PTSP",NA
"PWP",NA
"Qaumi Tahaffaz party",NA
"Qomi Awami Tehreek",NA
"Sairkistan Qaumi Ittehad",NA
"Seraiki Sooba Movement Pakistan",NA
"SIC",NA
"Tehreek-e-Suba Hazara",NA
"Tehreek-e-Wafaq Pakistan",NA
"TTK",NA
